employee_id,store_id,employee_name,email,position,salary,hire_date,is_pharmacist
74,6,Staff_Member_74,staff_member_74@company.com,Pharmacist,9318.44,2019-11-24,1
75,10,Staff_Member_75,staff_member_75@company.com,Technician,6216.28,2024-03-16,0
76,5,Staff_Member_76,staff_member_76@company.com,Inventory Specialist,9129.39,2022-01-23,0
77,6,Staff_Member_77,staff_member_77@company.com,Technician,9289.24,2018-03-06,1
78,6,Staff_Member_78,staff_member_78@company.com,Sales Associate,5182.31,2018-07-02,0
79,1,Staff_Member_79,staff_member_79@company.com,Sales Associate,5621.46,2023-07-13,0
80,8,Staff_Member_80,staff_member_80@company.com,Store Manager,6848.06,2024-03-28,0
81,11,Staff_Member_81,staff_member_81@company.com,Technician,6378.95,2019-05-11,0
82,1,Staff_Member_82,staff_member_82@company.com,Sales Associate,4366.02,2021-06-01,0
83,2,Staff_Member_83,staff_member_83@company.com,Inventory Specialist,9295.94,2022-03-28,0
84,7,Staff_Member_84,staff_member_84@company.com,Sales Associate,9064.04,2018-04-21,1
85,8,Staff_Member_85,staff_member_85@company.com,Technician,9544.07,2019-12-30,0
86,1,Staff_Member_86,staff_member_86@company.com,Store Manager,6940.95,2024-12-06,1
87,10,Staff_Member_87,staff_member_87@company.com,Technician,9191.67,2019-02-11,0
88,3,Staff_Member_88,staff_member_88@company.com,Pharmacist,9562.24,2019-07-21,1
89,2,Staff_Member_89,staff_member_89@company.com,Store Manager,9222.09,2017-09-28,0
90,10,Staff_Member_90,staff_member_90@company.com,Technician,8963.6,2020-04-04,0
91,8,Staff_Member_91,staff_member_91@company.com,Pharmacist,9339.03,2022-08-23,0
92,5,Staff_Member_92,staff_member_92@company.com,Technician,8420.1,2019-02-15,0
93,12,Staff_Member_93,staff_member_93@company.com,Technician,4760.33,2017-11-29,0
94,8,Staff_Member_94,staff_member_94@company.com,Sales Associate,3903.6,2019-10-21,0
95,7,Staff_Member_95,staff_member_95@company.com,Sales Associate,6545.9,2023-07-13,1
96,6,Staff_Member_96,staff_member_96@company.com,Sales Associate,4130.86,2024-04-29,0
97,11,Staff_Member_97,staff_member_97@company.com,Pharmacist,5357.43,2023-12-23,0
98,1,Staff_Member_98,staff_member_98@company.com,Technician,9411.96,2021-01-24,0
99,6,Staff_Member_99,staff_member_99@company.com,Store Manager,4279.79,2024-12-03,0
100,12,Staff_Member_100,staff_member_100@company.com,Technician,9591.32,2019-04-13,0
101,10,Staff_Member_101,staff_member_101@company.com,Pharmacist,4207.21,2020-11-15,0
102,12,Staff_Member_102,staff_member_102@company.com,Store Manager,8437.52,2024-04-03,0
103,2,Staff_Member_103,staff_member_103@company.com,Store Manager,9991.47,2021-08-26,0
104,7,Staff_Member_104,staff_member_104@company.com,Technician,6600.7,2018-04-13,0
105,5,Staff_Member_105,staff_member_105@company.com,Pharmacist,9602.77,2025-08-29,0
106,9,Staff_Member_106,staff_member_106@company.com,Store Manager,9611.36,2022-01-01,0
107,6,Staff_Member_107,staff_member_107@company.com,Inventory Specialist,7784.19,2022-04-07,0
108,12,Staff_Member_108,staff_member_108@company.com,Sales Associate,8117.52,2024-09-21,0
109,8,Staff_Member_109,staff_member_109@company.com,Pharmacist,7786.28,2022-12-17,0
110,2,Staff_Member_110,staff_member_110@company.com,Sales Associate,3701.84,2018-05-31,0
111,9,Staff_Member_111,staff_member_111@company.com,Sales Associate,7155.3,2022-12-15,1
112,8,Staff_Member_112,staff_member_112@company.com,Store Manager,9521.43,2025-11-01,0
113,5,Staff_Member_113,staff_member_113@company.com,Sales Associate,8377.6,2024-09-03,0
114,2,Staff_Member_114,staff_member_114@company.com,Pharmacist,8246.76,2018-06-03,0
115,3,Staff_Member_115,staff_member_115@company.com,Technician,8716.7,2023-02-05,0
116,8,Staff_Member_116,staff_member_116@company.com,Sales Associate,5669.16,2021-03-01,0
117,10,Staff_Member_117,staff_member_117@company.com,Pharmacist,4853.38,2025-07-10,0
118,1,Staff_Member_118,staff_member_118@company.com,Pharmacist,3626.92,2022-05-05,1
119,5,Staff_Member_119,staff_member_119@company.com,Store Manager,4834.33,2020-10-26,0
120,9,Staff_Member_120,staff_member_120@company.com,Technician,3788.86,2019-06-02,0
